date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
19531014,1953,53017,United Kingdom,EMU AUSTR,DOE,-28.7,132.35,0,0,0,10,10,WR,TOTEM:1,Atmospheric
19531026,1953,53018,United Kingdom,EMU AUSTR,DOE,-28.7,132.35,0,0,0,8,8,WR,TOTEM:2,Atmospheric
19540228,1954,54001,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,15000,15000,WR,BRAVO,Surface
19540326,1954,54002,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,11000,11000,WR,ROMEO,Water Surface
19540406,1954,54003,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,110,110,WR,KOON,Surface
19540425,1954,54004,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,6900,6900,WR,UNION,Water Surface
19540504,1954,54005,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,13500,13500,WR,YANKEE,Water Surface
19540513,1954,54006,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1690,1690,WR,NECTAR,Water Surface
19540914,1954,54007,Russia,ORENBG RUSS,DOE,52,55,0,0,0,40,40,ME,UNKNOWN,Atmospheric
19540929,1954,54008,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,0.2,0.2,WR,UNKNOWN,Atmospheric
19541001,1954,54009,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,0.03,0.03,WR,UNKNOWN,Atmospheric
19541003,1954,54010,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,2,2,WR,UNKNOWN,Atmospheric
19541005,1954,54011,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,4,4,WR,UNKNOWN,Surface
19541008,1954,54012,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,0.8,0.8,WR,UNKNOWN,Atmospheric
19541019,1954,54013,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,0,0.001,WR,UNKNOWN,Surface
19541023,1954,54014,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,62,62,WR,UNKNOWN,Atmospheric
19541026,1954,54015,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,2.8,2.8,WR,UNKNOWN,Atmospheric
19541030,1954,54016,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,10,10,WR,UNKNOWN,Surface
19550218,1955,55001,United States of America,NTS,DOE,37,-116,0,0,-0.25,1,1,WE,WASP,Atmospheric
19550222,1955,55002,United States of America,NTS,DOE,37,-116,0,0,-0.1,2,2,WR,MOTH,Atmospheric
19550301,1955,55003,United States of America,NTS,DOE,37,-116,0,0,-0.1,7,7,WR,TESLA,Atmospheric
19550307,1955,55004,United States of America,NTS,DOE,37,-116,0,0,-0.2,43,43,WR,TURK,Atmospheric
19550312,1955,55005,United States of America,NTS,DOE,37,-116,0,0,-0.1,4,4,WR,HORNET,Atmospheric
19550322,1955,55006,United States of America,NTS,DOE,37,-116,0,0,-0.2,8,8,WR,BEE,Atmospheric
19550323,1955,55007,United States of America,NTS,DOE,37,-116,0,0,0.02,1,1,WE,ESS,Surface
19550329,1955,55008,United States of America,NTS,DOE,37,-116,0,0,-0.2,14,14,WR,APPLE :1,Atmospheric
19550329,1955,55009,United States of America,NTS,DOE,37,-116,0,0,-0.25,3,3,WR,WASP PRIME,Atmospheric
19550406,1955,55010,United States of America,NTS,DOE,37,-116,0,0,-12,3,3,WE,HA,Atmospheric
19550409,1955,55011,United States of America,NTS,DOE,37,-116,0,0,-0.1,2,2,WR,POST,Atmospheric
19550415,1955,55012,United States of America,NTS,DOE,37,-116,0,0,-0.001,22,22,WE,MET,Atmospheric
19550505,1955,55013,United States of America,NTS,DOE,37,-116,0,0,-0.2,29,29,WR,APPLE:2,Atmospheric
19550514,1955,55014,United States of America,OFFUSWCOAST,DOE,29,-126,0,0,0,30,30,WE,WIGWAM,Underwater
19550515,1955,55015,United States of America,NTS,DOE,37,-116,0,0,-0.2,28,28,WR,ZUCCHINI,Atmospheric
19550729,1955,55016,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,1.3,1.3,WR,UNKNOWN,Surface
19550802,1955,55017,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WR,UNKNOWN,Surface
19550805,1955,55018,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,1.2,1.2,WR,UNKNOWN,Surface
19550921,1955,55019,Russia,NZ RUSS,DOE,73,55,0,0,0,3.5,3.5,WE,UNKNOWN,Underwater
19551101,1955,55022,United States of America,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:1,Surface
19551103,1955,55023,United States of America,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:2,Surface
19551105,1955,55024,United States of America,NTS,DOE,37,-116,0,0,0,0,0,SE,PROJECT 56:3,Surface
19551106,1955,55020,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,250,250,WR,UNKNOWN,Atmospheric
19551122,1955,55021,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,1600,1600,WR,UNKNOWN,Atmospheric
19560118,1956,56001,United States of America,NTS,DOE,37,-116,0,0,-0.001,0,20,SE,PROJECT 56:4,Surface
19560202,1956,56002,Russia,KAZAKH,MTM,46,61,0,0,0,0.3,0.3,WE,UNKNOWN,Surface
19560316,1956,56003,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,14,14,WR,UNKNOWN,Surface
19560325,1956,56004,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,5.5,5.5,WR,UNKNOWN,Surface
19560504,1956,56005,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,40,40,WR,LACROSSE,Surface
19560516,1956,56006,United Kingdom,MONTEB AUSTR,DOE,-20.23,115.55,0,0,0,15,15,WR,MOSAIC:Gl,Atmospheric
19560520,1956,56007,United States of America,BIKINI,DOE,11.35,165.2,0,0,-1.5,3800,3800,WR,CHEROKEE,Atmospheric
19560527,1956,56008,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,3500,3500,WR,ZUNI,Surface
19560527,1956,56009,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,0,0.19,0.19,WR,YUMA,Atmospheric
19560530,1956,56010,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,14.9,14.9,WR,ERIE,Atmospheric
19560606,1956,56011,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,13.7,13.7,WR,SEMINOLE,Surface
19560611,1956,56012,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,365,365,WR,FLATHEAD,Water Surface
19560611,1956,56013,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.1,8,8,WR,BLACKFOOT,Atmospheric
19560613,1956,56014,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,0,1.49,1.49,WR,KICKAPOO,Atmospheric
19560616,1956,56015,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.2,1.7,1.7,WR,OSAGE,Atmospheric
19560619,1956,56016,United Kingdom,MONTEB AUSTR,DOE,-20.4,115.53,0,0,0,60,60,WR,MOSAIC:G2,Atmospheric
19560621,1956,56017,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,0,15.2,15.2,WR,INCA,Atmospheric
19560625,1956,56018,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,1100,1100,WR,DAKOTA,Water Surface
19560702,1956,56019,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,0,360,360,WR,MOHAWK,Atmospheric
19560708,1956,56020,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1850,1850,WR,APACHE,Water Surface
19560710,1956,56021,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,4500,4500,WR,NAVAJO,Water Surface
19560720,1956,56022,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,5000,5000,WR,TEWA,Water Surface
19560721,1956,56023,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,250,250,WR,HURON,Water Surface
19560824,1956,56024,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,27,27,WR,UNKNOWN,Surface
19560830,1956,56025,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,900,900,WR,UNKNOWN,Atmospheric
19560902,1956,56026,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,51,51,WR,UNKNOWN,Atmospheric
19560910,1956,56027,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,38,38,WR,UNKNOWN,Atmospheric
19560927,1956,56028,United Kingdom,MARALI AUSTR,DOE,-30,131,0,0,0,15,15,WR,BUFFALO: Rl,Atmospheric
19561004,1956,56029,United Kingdom,MARALI AUSTR,DOE,-30,131,0,0,-0.001,1.5,1.5,WE,BUFFALO:R2,Surface
19561011,1956,56030,United Kingdom,MARALI AUSTR,DOE,-30,131,0,0,0,3,3,WR,BUFFALO: R3,Atmospheric
19561022,1956,56031,United Kingdom,MARALI AUSTR,DOE,-30,131,0,0,0,10,10,WR,BUFFALO:R4,Atmospheric
19561117,1956,56032,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,900,900,WR,UNKNOWN,Atmospheric
19561214,1956,56033,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,40,40,WR,UNKNOWN,Atmospheric
19570119,1957,57001,Russia,MTR RUSS,DOE,48,46,0,0,0,10,10,WE,UNKNOWN,Atmospheric
19570308,1957,57002,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,19,19,WR,UNKNOWN,Atmospheric
19570403,1957,57003,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,42,42,WR,UNKNOWN,Atmospheric
19570406,1957,57004,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,57,57,WR,UNKNOWN,Atmospheric
19570410,1957,57005,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,680,680,WR,UNKNOWN,Atmospheric
19570412,1957,57006,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,22,22,WR,UNKNOWN,Atmospheric
19570416,1957,57007,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,320,320,WR,UNKNOWN,Atmospheric
19570424,1957,57053,United States of America,MELLIS NV,DOE,37,-115,0,0,0,0,0,SE,PROJECT 57:1,Surface
19570515,1957,57008,United Kingdom,MALDEN IS,DOE,-4,-155,0,0,0,300,300,WR,GRAPPLE:1,Atmospheric
19570528,1957,57009,United States of America,NTS,DOE,37,-116,0,0,-0.2,12,12,WR,BOLTZMANN,Atmospheric
19570531,1957,57010,United Kingdom,MALDEN IS,DOE,-4,-155,0,0,0,720,720,WR,GRAPPLE:2,Atmospheric
19570602,1957,57011,United States of America,NTS,DOE,37,-116,0,0,-0.1,0.14,0.14,WR,FRANKLIN,Atmospheric
19570605,1957,57012,United States of America,NTS,DOE,37,-116,0,0,-0.2,5.00E-04,5.00E-04,WR,LASSEN,Atmospheric
19570618,1957,57013,United States of America,NTS,DOE,37,-116,0,0,-0.2,10,10,WR,WILSON,Atmospheric
19570619,1957,57014,United Kingdom,MALDEN IS,DOE,-4,-155,0,0,0,200,200,WR,GRAPPLE:3,Atmospheric
19570624,1957,57015,United States of America,NTS,DOE,37,-116,0,0,-0.2,37,37,WR,PRISCILLA,Atmospheric
19570701,1957,57054,United States of America,NTS,DOE,37,-116,0,0,0,0,0,SE,COULOMB-A,Surface
19570705,1957,57016,United States of America,NTS,DOE,37,-116,0,0,-0.5,74,74,WR,HOOD,Atmospheric
19570715,1957,57017,United States of America,NTS,DOE,37,-116,0,0,-0.2,17,17,WR,DIABLO,Atmospheric
19570719,1957,57018,United States of America,NTS,DOE,37,-116,0,0,-6.8,2,2,WE,JOHN,Atmospheric
19570724,1957,57019,United States of America,NTS,DOE,37,-116,0,0,-0.2,10,10,WR,KEPLER,Atmospheric
19570725,1957,57020,United States of America,NTS,DOE,37,-116,0,0,-0.2,9.7,9.7,WR,OWENS,Atmospheric
19570726,1957,57021,United States of America,NTS,DOE,37,-116,0,0,0,0,0,SE,PASCAL-A,Underground
19570807,1957,57022,United States of America,NTS,DOE,37,-116,0,0,-0.5,19,19,WR,STOKES,Atmospheric
19570810,1957,57055,United States of America,NTS,DOE,37,-116,0,0,0,0,0,SE,SATURN,Underground
19570818,1957,57023,United States of America,NTS,DOE,37,-116,0,0,-0.2,17,17,WR,SHASTA,Atmospheric
19570822,1957,57024,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,520,520,WR,UNKNOWN,Atmospheric
19570823,1957,57025,United States of America,NTS,DOE,37,-116,0,0,-0.5,11,11,WR,DOPPLER,Atmospheric
19570826,1957,57026,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,0.1,0.1,SE,UNKNOWN,Atmospheric
19570827,1957,57027,United States of America,NTS,DOE,37,-116,0,0,0,0,0,SE,PASCAL-B,Underground
19570830,1957,57028,United States of America,NTS,DOE,37,-116,0,0,-0.25,4.7,4.7,WR,FRANKLIN PRIME,Atmospheric
19570831,1957,57029,United States of America,NTS,DOE,37,-116,0,0,-0.25,44,44,WR,SMOKY,Atmospheric
19570902,1957,57030,United States of America,NTS,DOE,37,-116,0,0,-0.2,11,11,WR,GALILEO,Atmospheric
19570906,1957,57031,United States of America,NTS,DOE,37,-116,0,0,-0.2,0.2,0.2,WR,WHEELER,Atmospheric
19570906,1957,57032,United States of America,NTS,DOE,37,-116,0,0,-0.001,0.3,0.3,SE,COULOMB-B,Surface
19570907,1957,57034,Russia,N2 RUSS,DOE,73,55,0,0,0,32,32,FMS,UNKNOWN,Surface
19570908,1957,57033,United States of America,NTS,DOE,37,-116,0,0,-0.25,1,1,WR,LAPLACE,Atmospheric
19570913,1957,57035,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,5.9,5.9,WR,UNKNOWN,Atmospheric
19570914,1957,57036,United Kingdom,MARALI AUSTR,DOE,-30,131,0,0,0,1,1,WR,ANTLER:1,Atmospheric
19570914,1957,57037,United States of America,NTS,DOE,37,-116,0,0,-0.2,11,11,WR,FIZEAU,Atmospheric
19570916,1957,57038,United States of America,NTS,DOE,37,-116,0,0,-0.5,12,12,WR,NEWTON,Atmospheric
19570919,1957,57039,United States of America,NTS,DOE,37,-116,4.1,0,0.3,1.7,1.7,WR,RAINIER,Underground
19570923,1957,57040,United States of America,NTS,DOE,37,-116,0,0,-0.2,19,19,WR,WHITNEY,Atmospheric
19570924,1957,57041,Russia,NZ RUSS,DOE,73,55,0,0,0,1600,1600,WR,UNKNOWN,Atmospheric
19570925,1957,57042,United Kingdom,MARALI AUSTR,DOE,-30,131,0,0,0,6,6,WR,ANTLER:2,Atmospheric
19570926,1957,57043,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,13,13,WR,UNKNOWN,Atmospheric
19570928,1957,57044,United States of America,NTS,DOE,37,-116,0,0,-0.5,12,12,WR,CHARLESTON,Atmospheric
19571006,1957,57045,Russia,NZ RUSS,DOE,73,55,0,0,0,2900,2900,WR,UNKNOWN,Atmospheric
19571007,1957,57046,United States of America,NTS,DOE,37,-116,0,0,-0.2,8,8,WR,MORGAN,Atmospheric
19571009,1957,57047,United Kingdom,MARALI AUSTR,DOE,-30,131,0,0,0,25,25,WR,ANTLER:3,Atmospheric
19571010,1957,57048,Russia,NZ RUSS,DOE,73,55,0,0,0,10,10,WE,UNKNOWN,Underwater
19571108,1957,57049,United Kingdom,CHRISTMAS IS,DOE,2,-157,0,0,0,1800,1800,WR,GRAPPLE X,Atmospheric
19571206,1957,57050,United States of America,NTS,DOE,37,-116,0,0,0,0,0,SE,PASCAL-C,Underground
19571209,1957,57051,United States of America,NTS,DOE,37,-116,0,0,0,0.5,0.5,SE,COULOMB-C,Surface
19571228,1957,57052,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WR,UNKNOWN,Atmospheric
19580104,1958,58001,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,1.3,1.3,WR,UNKNOWN,Atmospheric
19580117,1958,58002,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,0.5,0.5,WR,UNKNOWN,Atmospheric
19580222,1958,58003,United States of America,NTS,DOE,37,-116,0,0,0,0,0.001,SE,VENUS,Underground
19580223,1958,58004,Russia,NZ RUSS,DOE,73,55,0,0,0,860,860,WR,UNKNOWN,Atmospheric
19580227,1958,58005,Russia,NZ RUSS,DOE,73,55,0,0,0,250,250,WR,UNKNOWN,Atmospheric
19580227,1958,58006,Russia,NZ RUSS,DOE,73,55,0,0,0,1500,1500,WR,UNKNOWN,Atmospheric
19580313,1958,58007,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,1.2,1.2,WR,UNKNOWN,Atmospheric
19580314,1958,58008,Russia,NZ RUSS,DOE,73,55,0,0,0,40,40,FMS,UNKNOWN,Atmospheric
19580314,1958,58009,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,35,35,WR,UNKNOWN,Atmospheric
19580314,1958,58010,United States of America,NTS,DOE,37,-116,0,0,0,0,0.001,SE,URANUS,Underground
19580315,1958,58011,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,14,14,WR,UNKNOWN,Atmospheric
19580318,1958,58012,Russia,SEMI KAZAKH,MTM,50,78,0,0,0,0.16,0.16,FMS,UNKNOWN,Atmospheric
19580320,1958,58013,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,12,12,WR,UNKNOWN,Atmospheric
19580321,1958,58014,Russia,NZ RUSS,DOE,73,55,0,0,0,650,650,WR,UNKNOWN,Atmospheric
19580322,1958,58015,Russia,SEMI KAZAKH,DOE,50,78,0,0,0,18,18,WR,UNKNOWN,Atmospheric
19580428,1958,58016,United States of America,PACIFIC,DOE,12.617,163.017,0,0,-28,1.7,1.7,WE,YUCCA,Atmospheric
19580428,1958,58017,United Kingdom,CHRISTMAS IS,DOE,2,-157,0,0,0,3000,3000,WR,GRAPPLE Y,Atmospheric
19580505,1958,58018,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,18,18,WR,CACTUS,Surface
19580511,1958,58019,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,1360,1360,WR,FIR,Water Surface
19580511,1958,58020,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,81,81,WR,BUTTERNUT,Water Surface
19580512,1958,58021,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1370,1370,WR,KOA,Surface
19580516,1958,58022,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,0.2,9,9,WE,WAHOO,Underwater
19580520,1958,58023,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,5.9,5.9,WR,HOLLY,Water Surface
19580521,1958,58024,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,25.1,25.1,WR,NUTMEG,Water Surface
19580526,1958,58025,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,330,330,WR,YELLOW WOOD,Water Surface
19580526,1958,58026,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,57,57,WR,MAGNOLIA,Water Surface
19580530,1958,58027,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,11.6,11.6,WR,TOBACCO,Water Surface
19580531,1958,58028,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,92,92,WR,SYCAMORE,Water Surface
19580602,1958,58029,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,15,15,WR,ROSE,Water Surface
19580608,1958,58030,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,0.05,8,8,WE,UMBRELLA,Underwater
19580610,1958,58031,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,213,213,WR,MAPLE,Water Surface
19580614,1958,58032,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,319,319,WR,ASPEN,Water Surface
19580614,1958,58033,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,1450,1450,WR,WALNUT,Water Surface
19580618,1958,58034,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,11,11,WR,LINDEN,Water Surface
19580627,1958,58035,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,412,412,WR,REDWOOD,Water Surface
19580627,1958,58036,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,880,880,WR,ELDER,Water Surface
19580628,1958,58037,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,8900,8900,WR,OAK,Water Surface
19580629,1958,58038,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,14,14,WR,HICKORY,Water Surface
19580701,1958,58039,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,5.2,5.2,WR,SEQUOIA,Water Surface
19580702,1958,58040,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,220,220,WR,CEDAR,Water Surface
19580705,1958,58041,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,397,397,WR,DOGWOOD,Water Surface
19580712,1958,58042,United States of America,BIKINI,DOE,11.35,165.2,0,0,-0.001,9300,9300,WR,POPLAR,Water Surface
19580714,1958,58043,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,0,0,SE,SCAEVOLA,Water Surface
19580717,1958,58044,United States of America,ENEWETAK,DOE,11.3,162.15,0,0,-0.001,255,255,WR,PISONIA,Water Surface
